Time Steps,Test Size,Dropout Rate,Units,Learning Rate
30,0.1,0.1,150,0.1
30,0.1,0.1,200,0.1
30,0.1,0.2,150,0.1
30,0.1,0.3,150,0.1
30,0.1,0.3,200,0.1
30,0.1,0.5,150,0.1
30,0.2,0.1,100,0.1
30,0.2,0.2,150,0.1
30,0.2,0.3,150,0.1
30,0.2,0.5,150,0.1
30,0.2,0.5,200,0.1
30,0.3,0.1,150,0.1
30,0.3,0.1,200,0.1
30,0.3,0.3,150,0.1
30,0.3,0.5,200,0.1
60,0.1,0.1,100,0.1
60,0.1,0.3,150,0.1
60,0.1,0.3,200,0.1
60,0.2,0.1,50,0.1
60,0.2,0.1,100,0.1
60,0.2,0.2,50,0.1
60,0.2,0.2,200,0.1
60,0.2,0.3,150,0.1
60,0.2,0.5,150,0.1
60,0.3,0.3,150,0.1
60,0.3,0.5,150,0.1
90,0.1,0.3,150,0.1
90,0.2,0.5,150,0.1
90,0.3,0.2,150,0.1
90,0.3,0.5,150,0.1
120,0.1,0.2,100,0.1
120,0.1,0.5,200,0.1
120,0.2,0.1,50,0.1
120,0.2,0.1,150,0.1
120,0.2,0.1,200,0.1
120,0.2,0.2,100,0.1
120,0.2,0.2,150,0.1
120,0.3,0.3,200,0.1
120,0.3,0.5,100,0.1
200,0.1,0.1,50,0.1
200,0.1,0.2,50,0.1
200,0.3,0.3,100,0.1
