Parameter Combination,Rank
"(30.0, 0.1, 0.2, 200.0, 0.1)",27.666666666666668
"(30.0, 0.2, 0.2, 100.0, 0.1)",31.5
"(30.0, 0.1, 0.1, 50.0, 0.1)",32.5
"(30.0, 0.2, 0.3, 200.0, 0.1)",35.0
"(30.0, 0.2, 0.1, 150.0, 0.1)",35.666666666666664
"(30.0, 0.2, 0.1, 50.0, 0.1)",38.0
"(30.0, 0.2, 0.1, 100.0, 0.1)",41.5
"(30.0, 0.3, 0.2, 200.0, 0.1)",43.166666666666664
"(30.0, 0.1, 0.5, 200.0, 0.1)",43.166666666666664
"(30.0, 0.2, 0.2, 200.0, 0.1)",43.833333333333336
"(30.0, 0.1, 0.3, 200.0, 0.1)",44.166666666666664
"(30.0, 0.1, 0.5, 50.0, 0.1)",45.166666666666664
"(30.0, 0.2, 0.5, 200.0, 0.1)",45.166666666666664
"(30.0, 0.3, 0.5, 150.0, 0.1)",46.166666666666664
"(30.0, 0.1, 0.3, 100.0, 0.1)",46.166666666666664
"(30.0, 0.3, 0.3, 200.0, 0.1)",46.5
"(30.0, 0.3, 0.3, 100.0, 0.1)",46.5
"(30.0, 0.3, 0.5, 200.0, 0.1)",46.5
"(30.0, 0.3, 0.3, 150.0, 0.1)",46.833333333333336
"(30.0, 0.3, 0.1, 200.0, 0.1)",46.833333333333336
"(30.0, 0.3, 0.2, 150.0, 0.1)",48.333333333333336
"(30.0, 0.2, 0.1, 200.0, 0.1)",49.166666666666664
"(30.0, 0.1, 0.2, 150.0, 0.1)",49.333333333333336
"(30.0, 0.1, 0.3, 150.0, 0.1)",49.666666666666664
"(30.0, 0.3, 0.1, 150.0, 0.1)",50.166666666666664
"(30.0, 0.3, 0.1, 100.0, 0.1)",50.666666666666664
"(30.0, 0.2, 0.3, 150.0, 0.1)",51.0
"(30.0, 0.1, 0.1, 200.0, 0.1)",51.166666666666664
"(30.0, 0.2, 0.2, 150.0, 0.1)",51.5
"(30.0, 0.1, 0.1, 100.0, 0.1)",51.833333333333336
"(30.0, 0.2, 0.5, 100.0, 0.1)",56.333333333333336
"(30.0, 0.1, 0.2, 100.0, 0.1)",57.0
"(30.0, 0.1, 0.5, 150.0, 0.1)",58.5
"(30.0, 0.3, 0.5, 50.0, 0.1)",60.833333333333336
"(30.0, 0.3, 0.2, 50.0, 0.1)",61.666666666666664
"(30.0, 0.1, 0.3, 50.0, 0.1)",62.333333333333336
"(30.0, 0.1, 0.5, 100.0, 0.1)",63.166666666666664
"(30.0, 0.1, 0.2, 50.0, 0.1)",64.66666666666667
"(30.0, 0.3, 0.5, 100.0, 0.1)",64.83333333333333
"(30.0, 0.3, 0.2, 100.0, 0.1)",65.33333333333333
"(30.0, 0.3, 0.1, 50.0, 0.1)",66.5
"(30.0, 0.2, 0.5, 50.0, 0.1)",67.83333333333333
"(60.0, 0.1, 0.2, 200.0, 0.1)",69.16666666666667
"(30.0, 0.2, 0.5, 150.0, 0.1)",71.66666666666667
"(60.0, 0.3, 0.1, 200.0, 0.1)",73.16666666666667
"(60.0, 0.1, 0.1, 50.0, 0.1)",76.83333333333333
"(60.0, 0.1, 0.2, 150.0, 0.1)",79.33333333333333
"(60.0, 0.1, 0.1, 200.0, 0.1)",80.33333333333333
"(60.0, 0.2, 0.1, 150.0, 0.1)",80.5
"(30.0, 0.2, 0.2, 50.0, 0.1)",81.16666666666667
"(200.0, 0.3, 0.2, 50.0, 0.1)",81.5
"(60.0, 0.3, 0.2, 150.0, 0.1)",83.0
"(30.0, 0.2, 0.3, 100.0, 0.1)",84.0
"(60.0, 0.1, 0.3, 50.0, 0.1)",84.0
"(200.0, 0.1, 0.1, 50.0, 0.1)",84.66666666666667
"(60.0, 0.3, 0.2, 200.0, 0.1)",85.5
"(60.0, 0.1, 0.3, 200.0, 0.1)",85.83333333333333
"(30.0, 0.1, 0.1, 150.0, 0.1)",89.0
"(60.0, 0.2, 0.1, 200.0, 0.1)",89.33333333333333
"(30.0, 0.2, 0.3, 50.0, 0.1)",89.5
"(60.0, 0.3, 0.1, 50.0, 0.1)",90.0
"(60.0, 0.3, 0.3, 200.0, 0.1)",90.83333333333333
"(60.0, 0.2, 0.3, 200.0, 0.1)",90.83333333333333
"(200.0, 0.1, 0.2, 200.0, 0.1)",91.16666666666667
"(60.0, 0.1, 0.1, 150.0, 0.1)",91.33333333333333
"(60.0, 0.2, 0.1, 100.0, 0.1)",91.66666666666667
"(200.0, 0.2, 0.2, 50.0, 0.1)",93.0
"(60.0, 0.1, 0.2, 50.0, 0.1)",93.16666666666667
"(60.0, 0.2, 0.2, 150.0, 0.1)",93.16666666666667
"(60.0, 0.2, 0.2, 200.0, 0.1)",94.5
"(60.0, 0.1, 0.5, 200.0, 0.1)",95.5
"(60.0, 0.3, 0.1, 150.0, 0.1)",96.0
"(200.0, 0.3, 0.3, 50.0, 0.1)",96.66666666666667
"(60.0, 0.3, 0.1, 100.0, 0.1)",96.83333333333333
"(60.0, 0.2, 0.5, 200.0, 0.1)",98.0
"(60.0, 0.1, 0.1, 100.0, 0.1)",98.16666666666667
"(60.0, 0.2, 0.2, 100.0, 0.1)",100.33333333333333
"(60.0, 0.3, 0.3, 50.0, 0.1)",101.16666666666667
"(60.0, 0.1, 0.2, 100.0, 0.1)",101.66666666666667
"(60.0, 0.2, 0.3, 150.0, 0.1)",103.16666666666667
"(60.0, 0.2, 0.3, 100.0, 0.1)",104.33333333333333
"(120.0, 0.2, 0.2, 50.0, 0.1)",104.5
"(200.0, 0.1, 0.2, 50.0, 0.1)",104.83333333333333
"(60.0, 0.1, 0.5, 150.0, 0.1)",105.33333333333333
"(60.0, 0.3, 0.5, 150.0, 0.1)",105.66666666666667
"(200.0, 0.1, 0.1, 200.0, 0.1)",106.33333333333333
"(60.0, 0.3, 0.3, 100.0, 0.1)",106.33333333333333
"(60.0, 0.3, 0.2, 50.0, 0.1)",106.83333333333333
"(90.0, 0.2, 0.1, 50.0, 0.1)",107.16666666666667
"(60.0, 0.3, 0.5, 200.0, 0.1)",107.33333333333333
"(60.0, 0.2, 0.2, 50.0, 0.1)",109.33333333333333
"(60.0, 0.1, 0.3, 100.0, 0.1)",110.33333333333333
"(200.0, 0.1, 0.3, 50.0, 0.1)",110.33333333333333
"(200.0, 0.2, 0.2, 200.0, 0.1)",112.33333333333333
"(60.0, 0.2, 0.5, 150.0, 0.1)",112.33333333333333
"(60.0, 0.2, 0.5, 50.0, 0.1)",112.33333333333333
"(60.0, 0.2, 0.1, 50.0, 0.1)",112.33333333333333
"(60.0, 0.1, 0.3, 150.0, 0.1)",112.5
