Parameter Combination,Rank
"(30.0, 0.2, 0.2, 100.0, 0.1)",39.333333333333336
"(30.0, 0.1, 0.1, 50.0, 0.1)",43.0
"(30.0, 0.1, 0.2, 200.0, 0.1)",44.44444444444444
"(30.0, 0.2, 0.1, 50.0, 0.1)",46.0
"(30.0, 0.2, 0.2, 200.0, 0.1)",46.666666666666664
"(30.0, 0.2, 0.1, 100.0, 0.1)",47.0
"(30.0, 0.2, 0.3, 200.0, 0.1)",48.55555555555556
"(30.0, 0.3, 0.5, 50.0, 0.1)",50.22222222222222
"(30.0, 0.2, 0.1, 150.0, 0.1)",51.333333333333336
"(30.0, 0.2, 0.1, 200.0, 0.1)",51.666666666666664
"(30.0, 0.1, 0.5, 200.0, 0.1)",52.44444444444444
"(30.0, 0.3, 0.5, 200.0, 0.1)",53.0
"(30.0, 0.3, 0.2, 200.0, 0.1)",53.111111111111114
"(30.0, 0.3, 0.3, 200.0, 0.1)",53.666666666666664
"(30.0, 0.1, 0.2, 150.0, 0.1)",53.77777777777778
"(30.0, 0.1, 0.3, 200.0, 0.1)",54.22222222222222
"(30.0, 0.3, 0.5, 150.0, 0.1)",54.666666666666664
"(30.0, 0.2, 0.2, 150.0, 0.1)",54.666666666666664
"(30.0, 0.2, 0.5, 200.0, 0.1)",54.888888888888886
"(30.0, 0.2, 0.3, 150.0, 0.1)",55.333333333333336
"(30.0, 0.3, 0.1, 100.0, 0.1)",56.22222222222222
"(30.0, 0.1, 0.3, 150.0, 0.1)",57.333333333333336
"(30.0, 0.3, 0.1, 150.0, 0.1)",57.44444444444444
"(30.0, 0.3, 0.3, 100.0, 0.1)",57.55555555555556
"(30.0, 0.3, 0.1, 200.0, 0.1)",57.77777777777778
"(30.0, 0.1, 0.1, 100.0, 0.1)",58.22222222222222
"(30.0, 0.1, 0.3, 100.0, 0.1)",58.22222222222222
"(30.0, 0.1, 0.1, 200.0, 0.1)",59.22222222222222
"(30.0, 0.3, 0.3, 150.0, 0.1)",59.333333333333336
"(30.0, 0.1, 0.2, 100.0, 0.1)",59.77777777777778
"(30.0, 0.1, 0.5, 100.0, 0.1)",60.333333333333336
"(30.0, 0.2, 0.5, 100.0, 0.1)",60.888888888888886
"(30.0, 0.1, 0.5, 150.0, 0.1)",64.22222222222223
"(30.0, 0.3, 0.2, 150.0, 0.1)",64.44444444444444
"(30.0, 0.2, 0.3, 50.0, 0.1)",65.55555555555556
"(30.0, 0.1, 0.5, 50.0, 0.1)",66.22222222222223
"(30.0, 0.1, 0.3, 50.0, 0.1)",67.77777777777777
"(30.0, 0.2, 0.5, 50.0, 0.1)",68.11111111111111
"(30.0, 0.3, 0.2, 100.0, 0.1)",68.55555555555556
"(30.0, 0.1, 0.2, 50.0, 0.1)",68.77777777777777
"(30.0, 0.2, 0.2, 50.0, 0.1)",69.22222222222223
"(30.0, 0.2, 0.5, 150.0, 0.1)",69.22222222222223
"(30.0, 0.3, 0.5, 100.0, 0.1)",71.44444444444444
"(30.0, 0.3, 0.2, 50.0, 0.1)",71.88888888888889
"(200.0, 0.3, 0.2, 50.0, 0.1)",72.55555555555556
"(60.0, 0.3, 0.1, 200.0, 0.1)",74.33333333333333
"(60.0, 0.3, 0.1, 50.0, 0.1)",75.66666666666667
"(200.0, 0.1, 0.2, 200.0, 0.1)",78.11111111111111
"(30.0, 0.2, 0.3, 100.0, 0.1)",78.88888888888889
"(60.0, 0.1, 0.2, 200.0, 0.1)",80.77777777777777
"(60.0, 0.1, 0.2, 50.0, 0.1)",81.55555555555556
"(60.0, 0.3, 0.2, 150.0, 0.1)",82.33333333333333
"(30.0, 0.1, 0.1, 150.0, 0.1)",84.66666666666667
"(30.0, 0.3, 0.1, 50.0, 0.1)",84.77777777777777
"(200.0, 0.1, 0.1, 50.0, 0.1)",85.11111111111111
"(60.0, 0.1, 0.1, 50.0, 0.1)",86.0
"(60.0, 0.3, 0.5, 150.0, 0.1)",89.0
"(60.0, 0.2, 0.5, 50.0, 0.1)",89.88888888888889
"(60.0, 0.3, 0.3, 100.0, 0.1)",90.44444444444444
"(60.0, 0.1, 0.3, 200.0, 0.1)",91.33333333333333
"(60.0, 0.1, 0.2, 150.0, 0.1)",91.77777777777777
"(60.0, 0.1, 0.1, 150.0, 0.1)",91.77777777777777
"(60.0, 0.1, 0.1, 200.0, 0.1)",92.55555555555556
"(60.0, 0.2, 0.1, 150.0, 0.1)",92.77777777777777
"(200.0, 0.2, 0.2, 50.0, 0.1)",93.33333333333333
"(60.0, 0.3, 0.3, 200.0, 0.1)",93.88888888888889
"(60.0, 0.2, 0.1, 100.0, 0.1)",94.44444444444444
"(60.0, 0.3, 0.2, 200.0, 0.1)",94.66666666666667
"(60.0, 0.2, 0.2, 150.0, 0.1)",97.0
"(60.0, 0.1, 0.3, 50.0, 0.1)",97.22222222222223
"(200.0, 0.1, 0.1, 200.0, 0.1)",97.44444444444444
"(60.0, 0.2, 0.1, 200.0, 0.1)",97.55555555555556
"(60.0, 0.3, 0.3, 50.0, 0.1)",97.66666666666667
"(60.0, 0.3, 0.1, 100.0, 0.1)",97.77777777777777
"(200.0, 0.1, 0.2, 50.0, 0.1)",97.88888888888889
"(60.0, 0.2, 0.3, 200.0, 0.1)",98.88888888888889
"(60.0, 0.2, 0.1, 50.0, 0.1)",99.77777777777777
"(60.0, 0.3, 0.1, 150.0, 0.1)",100.44444444444444
"(60.0, 0.1, 0.5, 200.0, 0.1)",100.55555555555556
"(60.0, 0.2, 0.2, 200.0, 0.1)",101.0
"(120.0, 0.3, 0.1, 50.0, 0.1)",101.0
"(200.0, 0.3, 0.3, 50.0, 0.1)",101.11111111111111
"(60.0, 0.2, 0.2, 50.0, 0.1)",102.88888888888889
"(60.0, 0.1, 0.1, 100.0, 0.1)",103.66666666666667
"(60.0, 0.3, 0.2, 50.0, 0.1)",104.0
"(200.0, 0.1, 0.3, 50.0, 0.1)",104.0
"(60.0, 0.3, 0.5, 200.0, 0.1)",104.0
"(60.0, 0.2, 0.5, 200.0, 0.1)",104.44444444444444
"(60.0, 0.2, 0.3, 100.0, 0.1)",104.66666666666667
"(60.0, 0.2, 0.3, 150.0, 0.1)",105.11111111111111
"(120.0, 0.2, 0.2, 50.0, 0.1)",105.33333333333333
"(60.0, 0.1, 0.2, 100.0, 0.1)",106.0
"(60.0, 0.1, 0.5, 150.0, 0.1)",106.22222222222223
"(60.0, 0.2, 0.2, 100.0, 0.1)",107.0
"(60.0, 0.2, 0.5, 150.0, 0.1)",107.11111111111111
"(60.0, 0.1, 0.3, 150.0, 0.1)",108.11111111111111
"(60.0, 0.1, 0.3, 100.0, 0.1)",108.55555555555556
"(60.0, 0.1, 0.5, 50.0, 0.1)",109.66666666666667
"(200.0, 0.2, 0.2, 200.0, 0.1)",110.22222222222223
"(200.0, 0.3, 0.1, 50.0, 0.1)",111.11111111111111
"(200.0, 0.2, 0.1, 50.0, 0.1)",111.11111111111111
"(60.0, 0.3, 0.3, 150.0, 0.1)",117.22222222222223
"(120.0, 0.1, 0.1, 150.0, 0.1)",117.44444444444444
"(200.0, 0.3, 0.3, 200.0, 0.1)",118.88888888888889
"(200.0, 0.2, 0.5, 50.0, 0.1)",119.11111111111111
"(120.0, 0.1, 0.1, 200.0, 0.1)",119.55555555555556
"(60.0, 0.2, 0.5, 100.0, 0.1)",120.66666666666667
"(120.0, 0.1, 0.2, 100.0, 0.1)",121.55555555555556
"(200.0, 0.3, 0.2, 200.0, 0.1)",122.22222222222223
"(60.0, 0.1, 0.5, 100.0, 0.1)",122.66666666666667
"(200.0, 0.2, 0.3, 50.0, 0.1)",123.0
"(120.0, 0.3, 0.1, 100.0, 0.1)",123.0
"(60.0, 0.3, 0.5, 50.0, 0.1)",123.66666666666667
"(200.0, 0.2, 0.3, 200.0, 0.1)",124.0
"(120.0, 0.2, 0.2, 100.0, 0.1)",124.77777777777777
"(60.0, 0.3, 0.2, 100.0, 0.1)",124.88888888888889
"(60.0, 0.2, 0.3, 50.0, 0.1)",125.0
"(120.0, 0.2, 0.1, 50.0, 0.1)",125.0
"(120.0, 0.2, 0.1, 100.0, 0.1)",125.0
"(120.0, 0.1, 0.1, 100.0, 0.1)",125.66666666666667
"(30.0, 0.3, 0.3, 50.0, 0.1)",126.11111111111111
"(120.0, 0.1, 0.2, 50.0, 0.1)",126.88888888888889
"(90.0, 0.2, 0.1, 100.0, 0.1)",127.33333333333333
"(120.0, 0.1, 0.3, 200.0, 0.1)",127.88888888888889
"(120.0, 0.3, 0.2, 100.0, 0.1)",128.44444444444446
"(120.0, 0.2, 0.3, 200.0, 0.1)",128.55555555555554
"(120.0, 0.2, 0.1, 200.0, 0.1)",129.55555555555554
"(200.0, 0.1, 0.1, 150.0, 0.1)",130.88888888888889
"(120.0, 0.3, 0.1, 200.0, 0.1)",131.66666666666666
"(120.0, 0.3, 0.2, 150.0, 0.1)",131.66666666666666
"(90.0, 0.2, 0.1, 50.0, 0.1)",131.77777777777777
"(120.0, 0.3, 0.3, 150.0, 0.1)",132.0
"(200.0, 0.1, 0.5, 50.0, 0.1)",132.11111111111111
"(200.0, 0.3, 0.5, 50.0, 0.1)",133.55555555555554
"(120.0, 0.3, 0.3, 50.0, 0.1)",133.55555555555554
"(120.0, 0.1, 0.2, 200.0, 0.1)",133.66666666666666
"(120.0, 0.2, 0.2, 200.0, 0.1)",134.66666666666666
"(90.0, 0.2, 0.2, 200.0, 0.1)",134.88888888888889
"(90.0, 0.1, 0.2, 200.0, 0.1)",135.0
"(120.0, 0.3, 0.1, 150.0, 0.1)",135.66666666666666
"(120.0, 0.1, 0.5, 200.0, 0.1)",135.88888888888889
"(120.0, 0.2, 0.3, 150.0, 0.1)",136.0
"(60.0, 0.3, 0.5, 100.0, 0.1)",136.33333333333334
"(120.0, 0.1, 0.3, 50.0, 0.1)",136.55555555555554
"(120.0, 0.2, 0.3, 50.0, 0.1)",136.77777777777777
"(120.0, 0.2, 0.1, 150.0, 0.1)",136.77777777777777
"(90.0, 0.2, 0.3, 50.0, 0.1)",138.0
"(120.0, 0.1, 0.3, 100.0, 0.1)",138.11111111111111
"(200.0, 0.3, 0.5, 200.0, 0.1)",138.11111111111111
"(120.0, 0.1, 0.1, 50.0, 0.1)",138.11111111111111
"(120.0, 0.2, 0.5, 200.0, 0.1)",138.88888888888889
"(200.0, 0.2, 0.1, 200.0, 0.1)",139.55555555555554
"(90.0, 0.2, 0.3, 200.0, 0.1)",139.55555555555554
"(90.0, 0.3, 0.1, 100.0, 0.1)",139.77777777777777
"(120.0, 0.3, 0.2, 50.0, 0.1)",139.88888888888889
"(120.0, 0.1, 0.2, 150.0, 0.1)",140.11111111111111
"(90.0, 0.2, 0.2, 50.0, 0.1)",140.11111111111111
"(200.0, 0.1, 0.2, 150.0, 0.1)",141.22222222222223
"(90.0, 0.1, 0.3, 200.0, 0.1)",142.22222222222223
"(200.0, 0.3, 0.1, 200.0, 0.1)",142.55555555555554
"(90.0, 0.1, 0.3, 100.0, 0.1)",142.77777777777777
"(90.0, 0.1, 0.3, 150.0, 0.1)",144.11111111111111
"(90.0, 0.1, 0.1, 50.0, 0.1)",144.33333333333334
"(200.0, 0.1, 0.3, 200.0, 0.1)",144.33333333333334
"(90.0, 0.3, 0.2, 200.0, 0.1)",144.44444444444446
"(90.0, 0.2, 0.1, 200.0, 0.1)",144.55555555555554
"(90.0, 0.2, 0.1, 150.0, 0.1)",144.66666666666666
"(120.0, 0.3, 0.3, 200.0, 0.1)",144.66666666666666
"(120.0, 0.3, 0.3, 100.0, 0.1)",145.0
"(90.0, 0.1, 0.1, 150.0, 0.1)",145.88888888888889
"(120.0, 0.1, 0.5, 100.0, 0.1)",147.11111111111111
"(90.0, 0.3, 0.1, 150.0, 0.1)",147.22222222222223
"(90.0, 0.1, 0.1, 200.0, 0.1)",147.44444444444446
"(90.0, 0.1, 0.2, 50.0, 0.1)",148.44444444444446
"(90.0, 0.1, 0.5, 50.0, 0.1)",150.33333333333334
"(90.0, 0.3, 0.3, 200.0, 0.1)",150.55555555555554
"(90.0, 0.3, 0.1, 200.0, 0.1)",150.66666666666666
"(120.0, 0.2, 0.5, 150.0, 0.1)",150.77777777777777
"(90.0, 0.1, 0.2, 150.0, 0.1)",150.88888888888889
"(120.0, 0.3, 0.5, 200.0, 0.1)",150.88888888888889
"(90.0, 0.2, 0.3, 150.0, 0.1)",151.11111111111111
"(200.0, 0.1, 0.1, 100.0, 0.1)",151.11111111111111
"(90.0, 0.3, 0.5, 200.0, 0.1)",151.44444444444446
"(200.0, 0.1, 0.3, 100.0, 0.1)",152.11111111111111
"(90.0, 0.1, 0.1, 100.0, 0.1)",152.11111111111111
"(200.0, 0.3, 0.2, 100.0, 0.1)",152.44444444444446
