,v,vw,o,c,h,l,t,n
0,505,171.1139,171.1000,171.1000,171.1000,171.1000,2024-02-13,09:00:00,11
1,420,170.9083,170.9000,170.9000,170.9000,170.9000,2024-02-13,09:01:05,10
2,584,170.8482,170.8500,170.8500,170.8500,170.8500,2024-02-13,09:01:10,15
3,596,171.1006,171.1200,171.1200,171.1200,171.1200,2024-02-13,09:01:15,11
4,250,170.9020,170.9000,170.9000,170.9000,170.9000,2024-02-13,09:01:40,2
5,384,170.9064,170.9000,170.9000,170.9000,170.9000,2024-02-13,09:02:30,8
6,519,170.9482,170.9500,170.9500,170.9500,170.9500,2024-02-13,09:02:40,9
7,169,171.1229,171.1300,171.1300,171.1300,171.1300,2024-02-13,09:03:25,5
8,300,171.1211,171.1000,171.1000,171.1000,171.1000,2024-02-13,09:03:30,6
9,500,171.4002,171.4100,171.4100,171.4100,171.4100,2024-02-13,09:04:45,10
10,500,171.3800,171.3800,171.3800,171.3800,171.3800,2024-02-13,09:04:50,4
11,371,171.2335,171.2800,171.2000,171.2800,171.2000,2024-02-13,09:05:55,5
12,1043,171.2498,171.2500,171.2500,171.2500,171.2500,2024-02-13,09:07:30,10
13,930,171.3033,171.2700,171.3300,171.3300,171.2700,2024-02-13,09:07:35,7
14,988,171.4008,171.4900,171.3700,171.4900,171.3700,2024-02-13,09:07:40,26
15,137,171.2600,171.2600,171.2600,171.2600,171.2600,2024-02-13,09:08:50,1
16,256,171.1161,171.1100,171.1100,171.1100,171.1100,2024-02-13,09:12:35,10
17,705,171.0280,171.0300,171.0300,171.0300,171.0200,2024-02-13,09:14:45,8
18,1225,171.0167,171.0200,171.0200,171.0200,171.0000,2024-02-13,09:15:10,19
19,1750,171.0200,171.0200,171.0200,171.0200,171.0200,2024-02-13,09:15:15,19
20,358,171.0872,171.0800,171.0900,171.0900,171.0800,2024-02-13,09:20:45,11
21,420,171.0012,171.0000,171.0000,171.0000,171.0000,2024-02-13,09:22:25,4
22,402,171.0192,171.0200,171.0200,171.0200,171.0200,2024-02-13,09:22:55,4
23,1677,171.1099,171.0000,170.9900,171.3800,170.9900,2024-02-13,09:23:15,52
24,367,171.0723,171.0800,171.0800,171.0800,171.0800,2024-02-13,09:26:00,8
25,506,170.9499,170.9500,170.9500,170.9500,170.9500,2024-02-13,09:29:30,5
26,287,170.8800,170.8800,170.8800,170.8800,170.8800,2024-02-13,09:29:45,8
27,890,170.8800,170.8800,170.8800,170.8800,170.8800,2024-02-13,09:30:10,17
28,298,170.8828,170.8800,170.8800,170.8800,170.8800,2024-02-13,09:31:05,7
29,413,170.9165,170.9200,170.9200,170.9200,170.9200,2024-02-13,09:31:10,7
30,830,170.8976,170.9200,170.8800,170.9200,170.8800,2024-02-13,09:34:25,17
31,326,170.8629,170.8800,170.8300,170.8800,170.8300,2024-02-13,09:34:30,10
32,120,170.7800,170.7800,170.7800,170.7800,170.7800,2024-02-13,09:38:10,2
33,541,170.7485,170.7500,170.7500,170.7500,170.7500,2024-02-13,09:40:35,7
34,204,170.6797,170.6800,170.6800,170.6800,170.6800,2024-02-13,09:42:15,5
35,231,170.6400,170.6400,170.6400,170.6400,170.6400,2024-02-13,09:42:50,4
36,370,170.6440,170.6400,170.6400,170.6400,170.6400,2024-02-13,09:43:05,10
37,449,170.4755,170.5000,170.5000,170.5000,170.5000,2024-02-13,09:44:00,10
38,290,170.4830,170.4700,170.4700,170.4700,170.4700,2024-02-13,09:46:25,6
39,904,170.3982,170.4000,170.4000,170.4000,170.4000,2024-02-13,09:46:30,4
40,351,170.3985,170.4000,170.4000,170.4000,170.4000,2024-02-13,09:50:15,3
41,772,170.3600,170.3600,170.3600,170.3600,170.3600,2024-02-13,09:50:40,4
42,1000,170.3976,170.4000,170.4000,170.4000,170.4000,2024-02-13,09:51:45,9
43,1278,170.4007,170.4000,170.4000,170.4000,170.4000,2024-02-13,09:51:55,10
44,1130,170.5100,170.4500,170.6100,170.6100,170.4500,2024-02-13,09:52:15,22
45,5151,170.3023,170.4100,170.2500,170.4100,170.2500,2024-02-13,09:52:30,84
46,783,170.2766,170.3500,170.2500,170.3500,170.2500,2024-02-13,09:52:50,5
47,100,170.3500,170.3500,170.3500,170.3500,170.3500,2024-02-13,09:55:50,1
48,122,170.3100,170.3100,170.3100,170.3100,170.3100,2024-02-13,09:59:05,3
49,200,170.3300,170.3300,170.3300,170.3300,170.3300,2024-02-13,09:59:10,1
50,1466,170.4232,170.4200,170.4400,170.4400,170.4200,2024-02-13,10:00:40,25
