,v,vw,o,c,h,l,t,n
0,1114.0,171.6914,171.6800,171.6900,171.6900,171.6800,2024-02-13,09:02:05,22
1,300.0,171.7733,171.7600,171.7600,171.7600,171.7600,2024-02-13,09:03:15,5
2,1514.0,171.8497,171.8500,171.8500,171.8500,171.8500,2024-02-13,09:03:50,13
3,450.0,171.8024,171.8000,171.8000,171.8000,171.8000,2024-02-13,09:06:10,10
4,1033.0,171.8300,171.8300,171.8300,171.8300,171.8300,2024-02-13,09:06:50,7
5,237.0,171.8306,171.8300,171.8300,171.8300,171.8300,2024-02-13,09:08:00,4
6,371.0,171.7873,171.7900,171.7900,171.7900,171.7900,2024-02-13,09:09:35,7
7,1910.0,171.6956,171.6900,171.7000,171.7000,171.6900,2024-02-13,09:17:40,11
8,252.0,171.6500,171.6500,171.6500,171.6500,171.6500,2024-02-13,09:21:55,3
9,575.0,171.7207,171.7100,171.7100,171.7100,171.7100,2024-02-13,09:27:35,13
10,549.0,171.7342,171.7300,171.7300,171.7300,171.7300,2024-02-13,09:29:00,11
11,525.0,171.7000,171.7000,171.7000,171.7000,171.7000,2024-02-13,09:30:45,3
12,1609.0,171.6938,171.7000,171.6900,171.7000,171.6900,2024-02-13,09:33:30,15
13,500.0,171.6793,171.6800,171.6800,171.6800,171.6800,2024-02-13,09:34:20,5
14,831.0,171.6688,171.6700,171.6600,171.6700,171.6600,2024-02-13,09:39:00,14
15,375.0,171.6700,171.6700,171.6700,171.6700,171.6700,2024-02-13,09:39:30,4
16,200.0,171.6500,171.6500,171.6500,171.6500,171.6500,2024-02-13,09:39:45,2
17,521.0,171.6171,171.6200,171.6200,171.6200,171.6200,2024-02-13,09:46:05,13
18,400.0,171.6136,171.6200,171.6100,171.6200,171.6100,2024-02-13,09:46:10,6
19,200.0,171.6100,171.6100,171.6100,171.6100,171.6100,2024-02-13,09:47:20,1
20,500.0,171.6360,171.6400,171.6400,171.6400,171.6400,2024-02-13,09:52:55,7
