,v,vw,o,c,h,l,t,n
0,2581,719.2932,719.0000,719.9900,719.9900,719.0000,2024-02-13,09:00:00,100
1,676,720.1988,720.2000,720.2000,720.2000,720.2000,2024-02-13,09:00:05,9
2,545,719.9681,719.8800,719.9700,720.0000,719.8800,2024-02-13,09:00:10,8
3,494,719.0869,719.1000,719.0000,719.1000,719.0000,2024-02-13,09:00:45,22
4,1142,718.6640,718.6600,718.6600,718.6600,718.6600,2024-02-13,09:01:05,36
5,217,719.1899,719.2000,719.2000,719.2000,719.2000,2024-02-13,09:01:10,10
6,854,719.0676,719.0500,719.0500,719.0500,719.0500,2024-02-13,09:01:40,37
7,228,719.4252,719.3600,719.5000,719.5000,719.3600,2024-02-13,09:02:15,6
8,262,719.7871,719.7900,719.7900,719.7900,719.7900,2024-02-13,09:02:35,9
9,910,719.9454,719.7300,720.0700,720.0700,719.7300,2024-02-13,09:02:45,23
10,300,720.5500,720.5300,720.5900,720.5900,720.5300,2024-02-13,09:03:40,2
11,486,721.0102,721.0300,721.0300,721.0300,721.0300,2024-02-13,09:03:45,19
12,100,721.0300,721.0300,721.0300,721.0300,721.0300,2024-02-13,09:03:50,1
13,304,721.1245,721.1300,721.1300,721.1300,721.1300,2024-02-13,09:03:55,8
14,564,721.1271,721.1300,721.1300,721.1300,721.1300,2024-02-13,09:04:00,8
15,315,721.2470,721.2300,721.2300,721.2300,721.2300,2024-02-13,09:04:05,6
16,172,720.9999,721.0000,721.0000,721.0000,721.0000,2024-02-13,09:04:15,8
17,128,720.7457,720.7500,720.7500,720.7500,720.7500,2024-02-13,09:05:25,3
18,300,721.0700,721.1100,721.1100,721.1100,721.1100,2024-02-13,09:06:45,7
19,393,721.0092,721.0000,721.0000,721.0000,721.0000,2024-02-13,09:06:50,7
20,736,721.9182,721.8300,721.7900,721.8300,721.7900,2024-02-13,09:07:30,31
21,187,722.0163,721.9900,721.9900,721.9900,721.9900,2024-02-13,09:07:35,7
22,191,722.0131,722.0000,722.0000,722.0000,722.0000,2024-02-13,09:08:05,3
23,300,721.6087,721.5700,721.5700,721.5700,721.5700,2024-02-13,09:08:45,5
24,802,721.8558,721.7900,721.8800,721.8800,721.7900,2024-02-13,09:08:55,3
25,1544,721.1050,721.0700,721.0000,721.0700,721.0000,2024-02-13,09:10:05,56
26,116,720.6996,720.7000,720.7000,720.7000,720.7000,2024-02-13,09:10:55,2
27,1000,720.3609,720.3600,720.3600,720.3600,720.3600,2024-02-13,09:12:00,20
28,676,720.1834,720.1900,720.1500,720.1900,720.1500,2024-02-13,09:12:45,11
29,739,720.2633,720.3000,720.0500,720.3000,720.0500,2024-02-13,09:13:50,12
30,100,720.2900,720.2900,720.2900,720.2900,720.2900,2024-02-13,09:14:05,1
31,1334,720.0161,720.0500,720.0000,720.0500,720.0000,2024-02-13,09:14:15,40
32,349,719.8485,719.8100,719.8100,719.8100,719.8100,2024-02-13,09:14:20,10
33,775,719.4288,719.5000,719.4000,719.5000,719.4000,2024-02-13,09:14:45,23
34,673,719.0157,719.0000,719.0000,719.0000,719.0000,2024-02-13,09:15:20,44
35,100,718.5200,718.5200,718.5200,718.5200,718.5200,2024-02-13,09:15:50,1
36,596,719.2729,719.2400,719.2400,719.2400,719.2400,2024-02-13,09:17:15,13
37,260,719.3692,719.3600,719.3600,719.3600,719.3600,2024-02-13,09:18:15,7
38,130,719.5000,719.5000,719.5000,719.5000,719.5000,2024-02-13,09:19:45,4
39,100,719.7300,719.7300,719.7300,719.7300,719.7300,2024-02-13,09:21:05,1
40,238,720.0042,720.0000,720.0100,720.0100,720.0000,2024-02-13,09:21:50,2
41,360,720.0517,720.0000,720.0000,720.0000,720.0000,2024-02-13,09:22:15,7
42,1469,719.9994,720.0000,720.0000,720.0000,720.0000,2024-02-13,09:22:30,12
43,241,720.0924,720.0100,720.0100,720.0100,720.0100,2024-02-13,09:22:55,8
44,137,720.0004,720.0000,720.0000,720.0000,720.0000,2024-02-13,09:23:10,2
45,201,720.1719,720.1400,720.1400,720.1400,720.1400,2024-02-13,09:23:15,11
46,102,720.1110,720.1100,720.1100,720.1100,720.1100,2024-02-13,09:23:20,2
47,141,720.5000,720.5000,720.5000,720.5000,720.5000,2024-02-13,09:24:20,1
48,201,720.4699,720.4700,720.4700,720.4700,720.4700,2024-02-13,09:24:30,2
49,200,720.5000,720.5000,720.5000,720.5000,720.5000,2024-02-13,09:25:05,2
50,150,720.5000,720.5000,720.5000,720.5000,720.5000,2024-02-13,09:25:15,2
51,383,720.4580,720.4700,720.4700,720.4700,720.4700,2024-02-13,09:25:25,10
52,334,720.6168,720.6400,720.6400,720.6400,720.6400,2024-02-13,09:26:25,26
53,671,720.9854,721.0400,721.0400,721.0400,721.0400,2024-02-13,09:28:45,31
54,100,721.0400,721.0400,721.0400,721.0400,721.0400,2024-02-13,09:29:05,1
55,300,720.7017,720.7000,720.7000,720.7000,720.7000,2024-02-13,09:29:50,2
56,100,720.7000,720.7000,720.7000,720.7000,720.7000,2024-02-13,09:30:10,1
57,101,720.8000,720.8000,720.8000,720.8000,720.8000,2024-02-13,09:30:15,2
58,4096,720.5722,720.5700,720.5700,720.6600,720.5700,2024-02-13,09:30:55,14
59,296,720.2441,720.2500,720.2500,720.2500,720.2500,2024-02-13,09:31:15,9
60,2001,720.0044,720.0100,720.0000,720.0100,720.0000,2024-02-13,09:33:30,14
61,1015,720.0011,720.0000,720.0000,720.0000,720.0000,2024-02-13,09:33:35,24
62,200,720.0110,720.0000,720.0000,720.0000,720.0000,2024-02-13,09:34:00,4
63,1623,719.9998,720.0000,720.0000,720.0000,720.0000,2024-02-13,09:34:05,3
64,284,719.7000,719.7000,719.7000,719.7000,719.7000,2024-02-13,09:35:35,3
65,425,719.8617,719.9000,719.9000,719.9000,719.9000,2024-02-13,09:35:55,11
66,541,719.5006,719.5000,719.5000,719.5000,719.5000,2024-02-13,09:36:45,5
67,604,719.4993,719.5000,719.5000,719.5000,719.5000,2024-02-13,09:36:55,25
68,165,719.0970,719.1000,719.1000,719.1000,719.1000,2024-02-13,09:37:45,2
69,1517,719.0083,719.0300,719.0000,719.0300,719.0000,2024-02-13,09:38:25,52
70,254,718.6198,718.6200,718.6200,718.6200,718.6200,2024-02-13,09:38:50,8
71,160,718.6239,718.6200,718.6200,718.6200,718.6200,2024-02-13,09:40:10,5
72,286,718.5600,718.5100,718.5100,718.5100,718.5100,2024-02-13,09:40:30,14
73,120,718.5100,718.5100,718.5100,718.5100,718.5100,2024-02-13,09:41:10,1
74,296,718.4358,718.4300,718.4300,718.4300,718.4300,2024-02-13,09:41:55,27
75,2172,718.3541,718.5100,718.3100,718.5100,718.3000,2024-02-13,09:42:15,27
76,297,718.5770,718.5600,718.5600,718.5600,718.5600,2024-02-13,09:42:50,10
77,102,718.6790,718.6800,718.6800,718.6800,718.6800,2024-02-13,09:43:45,2
78,120,718.6803,718.6800,718.6800,718.6800,718.6800,2024-02-13,09:44:00,2
79,200,718.7900,718.7900,718.7900,718.7900,718.7900,2024-02-13,09:46:05,4
80,734,718.7153,718.7300,718.7100,718.7300,718.7100,2024-02-13,09:46:10,11
81,200,718.4911,718.5100,718.5100,718.5100,718.5100,2024-02-13,09:46:25,3
82,226,718.6103,718.6000,718.6000,718.6000,718.6000,2024-02-13,09:46:35,6
83,190,718.5153,718.5100,718.5100,718.5100,718.5100,2024-02-13,09:46:50,5
84,320,718.3953,718.3800,718.4100,718.4100,718.3800,2024-02-13,09:47:25,3
85,508,718.4737,718.5100,718.4100,718.5100,718.4100,2024-02-13,09:48:05,13
86,556,718.7397,718.7500,718.7500,718.7500,718.7500,2024-02-13,09:49:35,9
87,455,718.9123,718.9300,719.0000,719.0000,718.9300,2024-02-13,09:50:10,21
88,1263,718.9088,718.9300,718.6200,718.9300,718.6200,2024-02-13,09:50:20,33
89,214,719.1864,719.1700,719.1700,719.1700,719.1700,2024-02-13,09:52:10,11
90,680,718.7039,718.6100,718.6100,718.6100,718.6100,2024-02-13,09:55:40,30
91,110,718.5145,718.5100,718.5100,718.5100,718.5100,2024-02-13,09:59:50,2
92,420,718.5330,718.5500,718.5500,718.5500,718.5500,2024-02-13,10:00:20,13
93,227,718.5999,718.5500,718.5500,718.5500,718.5500,2024-02-13,10:01:50,5
94,100,718.5500,718.5500,718.5500,718.5500,718.5500,2024-02-13,10:02:00,1
95,100,718.5000,718.5000,718.5000,718.5000,718.5000,2024-02-13,10:02:30,1
96,206,718.5054,718.5100,718.5100,718.5100,718.5100,2024-02-13,10:03:15,5
97,172,718.5269,718.5300,718.5300,718.5300,718.5300,2024-02-13,10:03:45,8
98,3020,718.1341,718.3000,718.0000,718.3000,718.0000,2024-02-13,10:05:15,196
99,1500,717.4898,717.5100,717.5000,717.5100,717.5000,2024-02-13,10:05:55,26
100,101,717.2108,717.2100,717.2100,717.2100,717.2100,2024-02-13,10:06:15,2
101,175,717.0810,717.1100,717.1100,717.1100,717.1100,2024-02-13,10:06:25,3
102,333,717.1457,717.1100,717.2100,717.2100,717.1100,2024-02-13,10:06:30,7
103,123,716.8833,716.9000,716.9000,716.9000,716.9000,2024-02-13,10:06:45,5
104,2269,716.5908,716.6000,716.6000,716.6000,716.6000,2024-02-13,10:07:05,30
105,176,716.4422,716.4500,716.4500,716.4500,716.4500,2024-02-13,10:07:15,5
106,300,716.5339,716.5100,716.5100,716.5100,716.5100,2024-02-13,10:07:20,9
107,421,716.3738,716.3100,716.3100,716.3100,716.3100,2024-02-13,10:07:40,16
108,600,716.4700,716.4100,716.5100,716.5100,716.4100,2024-02-13,10:07:55,13
