datetime,v,vw,o,c,h,l,t,n
2023-07-06 10:00:00,32094.0,190.1295,190.25,190.1,190.25,190.04,1688637600000,672
2023-07-06 11:00:00,112133.0,190.1632,190.07,190.11,190.3,190.05,1688641200000,2400
2023-07-06 12:00:00,717802.0,190.1249,190.18,189.61,191.11,189.26,1688644800000,11122
2023-07-06 13:00:00,6922341.0,189.8933,189.64,189.93,190.46,189.2,1688648400000,113039
2023-07-06 14:00:00,6111573.0,189.8119,189.94,189.544,190.18,189.5,1688652000000,146740
2023-07-06 15:00:00,5151485.0,190.1602,189.55,190.495,190.61,189.53,1688655600000,62703
2023-07-06 16:00:00,4077758.0,190.8916,190.5,190.9722,191.17,190.49,1688659200000,46850
2023-07-07 10:00:00,9740.0,191.5367,191.73,191.61,191.73,191.44,1688724000000,233
2023-07-07 11:00:00,51061.0,191.6531,191.65,191.56,191.76,191.56,1688727600000,709
2023-07-07 12:00:00,466569.0,191.9435,191.63,191.85,192.44,191.45,1688731200000,7846
2023-07-07 13:00:00,6386070.0,191.2446,191.75,191.535,191.93,190.71,1688734800000,99420
2023-07-07 14:00:00,6325033.0,190.8747,191.535,190.6899,191.72,190.24,1688738400000,148319
2023-07-07 15:00:00,4514445.0,191.2808,190.68,191.7525,191.78,190.675,1688742000000,47494
2023-07-07 16:00:00,5383469.0,192.2097,191.76,192.31,192.53,191.76,1688745600000,54834
2023-07-10 10:00:00,95079.0,188.9921,189.13,189.16,189.16,188.8,1688983200000,1365
2023-07-10 11:00:00,213621.0,189.5656,189.12,190.19,190.38,189.12,1688986800000,3897
2023-07-10 12:00:00,366391.0,189.789,189.27,189.44,190.42,189.15,1688990400000,7873
2023-07-10 13:00:00,11565116.0,188.5735,189.45,187.62,190.68,187.15,1688994000000,163027
2023-07-10 14:00:00,9571481.0,188.6161,187.62,188.15,189.51,187.6,1688997600000,220373
2023-07-10 15:00:00,6734957.0,187.9817,188.155,187.53,188.4514,187.52,1689001200000,79941
